,Batsman_Name_clean,total_runs,avg_runs,total_4s,total_6s,total_wickets,total_boundaries,mode_pitchLine,mode_pitchLength,balls_faced,strike_rate,boundary_rate,dot_ball_pct,dismissal_ratio,avg_runs_death,avg_runs_middle,avg_runs_powerplay,run_std,consistency_index,avg_vs_left-arm_fast,avg_vs_left-arm_fast-medium,avg_vs_left-arm_medium,"avg_vs_left-arm_medium,slow_left-arm_orthodox",avg_vs_left-arm_medium-fast,avg_vs_left-arm_wrist-spin,avg_vs_legbreak,avg_vs_legbreak_googly,avg_vs_right-arm_fast,avg_vs_right-arm_fast-medium,"avg_vs_right-arm_fast-medium,legbreak","avg_vs_right-arm_fast-medium,legbreak_googly",avg_vs_right-arm_medium,"avg_vs_right-arm_medium,legbreak","avg_vs_right-arm_medium,right-arm_offbreak",avg_vs_right-arm_medium-fast,"avg_vs_right-arm_medium-fast,right-arm_offbreak",avg_vs_right-arm_offbreak,"avg_vs_right-arm_offbreak,legbreak","avg_vs_right-arm_offbreak,legbreak_googly",avg_vs_slow_left-arm_orthodox,avg_runs_day,avg_runs_daynight,avg_runs_night
279,mohammad rizwan,569,1.1518218623481782,40,18,13,58,2,2,494,115.18218623481782,0.11740890688259109,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,mohammad saifuddin,25,2.7777777777777777,2,2,1,4,2,0,9,277.77777777777777,0.4444444444444444,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,mohammad sami,5,2.5,1,0,0,1,1,0,2,250.0,0.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,mohammad shahzad,305,1.3034188034188035,29,15,11,44,2,2,234,130.34188034188034,0.18803418803418803,,0.04700854700854701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,mohammad wasim,17,0.7391304347826086,2,0,2,2,2,4,23,73.91304347826086,0.08695652173913043,,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,mohammed shami,0,0.0,0,0,1,0,1,2,2,0.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,mohammed siraj,7,1.4,0,0,1,0,2,2,5,140.0,0.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,monank patel,70,1.206896551724138,9,1,2,10,2,0,58,120.6896551724138,0.1724137931034483,,0.034482758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,mosaddek hossain,42,1.0769230769230769,2,2,4,4,1,2,39,107.6923076923077,0.10256410256410256,,0.10256410256410256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,ms dhoni,87,1.2428571428571429,5,2,1,7,1,2,70,124.28571428571429,0.1,,0.014285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,mudassar bukhari,15,2.5,1,1,1,2,4,1,6,250.0,0.3333333333333333,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,muhammad waseem,99,1.0421052631578946,2,5,3,7,2,2,95,104.21052631578947,0.07368421052631578,,0.031578947368421054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,mujeeb ur rahman,0,0.0,0,0,2,0,0,4,3,0.0,0.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,munis ansari,9,1.8,0,0,0,0,0,2,5,180.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,mushfiqur rahim,179,1.1049382716049383,15,4,8,19,2,2,162,110.49382716049382,0.11728395061728394,,0.04938271604938271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,mustafizur rahman,23,1.0952380952380953,0,2,4,2,1,0,21,109.52380952380953,0.09523809523809523,,0.19047619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,najibullah zadran,314,1.3476394849785407,25,13,11,38,1,2,233,134.76394849785407,0.1630901287553648,,0.04721030042918455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,najmul hossain shanto,213,1.0441176470588236,20,3,9,23,2,2,204,104.41176470588236,0.11274509803921569,,0.04411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,naseem khushi,21,0.875,1,1,4,2,2,0,24,87.5,0.08333333333333333,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,naseem shah,11,1.8333333333333333,1,0,0,1,2,0,6,183.33333333333331,0.16666666666666666,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,nasir hossain,3,0.42857142857142855,0,0,1,0,1,3,7,42.857142857142854,0.0,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,nasum ahmed,28,1.6470588235294117,2,2,2,4,2,4,17,164.70588235294116,0.23529411764705882,,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,nathan coulter-nile,1,0.5,0,0,1,0,2,2,2,50.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
