Full Name,match_phase,total_runs,balls_faced,boundaries,wickets,fours,sixes,strike_rate,boundary_pct,wicket_pct,dot_ball_pct,adaptability_index,adaptability_label,playing_role
Neil Rock,Middle,1,3,0,1,0,0,33.33,0.0,33.33,66.67,0.105,Low,wicketkeeper batter
Niall O'Brien,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,wicketkeeper batter
Niall O'Brien,Middle,16,10,1,0,1,0,160.0,10.0,0.0,10.0,0.395,Moderate,wicketkeeper batter
Niall O'Brien,Powerplay,4,7,0,0,0,0,57.14,0.0,0.0,42.86,0.18,Low,wicketkeeper batter
Nicholas Kirton,Death,39,24,5,2,3,2,162.5,20.83,8.33,29.17,0.392,Moderate,batting allrounder
Nicholas Kirton,Middle,62,43,5,0,3,2,144.19,11.63,0.0,20.93,0.359,Moderate,batting allrounder
Nicholas Kirton,Powerplay,0,5,0,0,0,0,0.0,0.0,0.0,100.0,0.0,Low,batting allrounder
Nicholas Pooran,Death,13,3,2,0,0,2,433.33,66.67,0.0,0.0,0.9,High,wicketkeeper batter
Nicholas Pooran,Middle,69,76,5,7,3,2,90.79,6.58,9.21,38.16,0.248,Low,wicketkeeper batter
Nicholas Pooran,Powerplay,82,55,14,2,10,4,149.09,25.45,3.64,50.91,0.347,Moderate,wicketkeeper batter
Nikolaas Davin,Middle,8,12,1,1,0,1,66.67,8.33,8.33,75.0,0.152,Low,batter
Nikolaas Davin,Powerplay,38,38,6,2,6,0,100.0,15.79,5.26,52.63,0.257,Low,batter
Nitish Kumar,Death,14,12,1,0,1,0,116.67,8.33,0.0,25.0,0.31,Low,top-order batter
Nitish Kumar,Middle,28,25,3,1,2,1,112.0,12.0,4.0,40.0,0.285,Low,top-order batter
Nizakat Khan,Death,17,11,2,2,0,2,154.55,18.18,18.18,36.36,0.36,Moderate,allrounder
Nizakat Khan,Middle,8,10,0,1,0,0,80.0,0.0,10.0,40.0,0.212,Low,allrounder
Noor Ali Zadran,Middle,46,59,2,4,1,1,77.97,3.39,6.78,44.07,0.212,Low,opening batter
Noor Ali Zadran,Powerplay,80,70,9,1,8,1,114.29,12.86,1.43,40.0,0.29,Low,opening batter
Norman Vanua,Death,8,16,0,3,0,0,50.0,0.0,18.75,50.0,0.158,Low,bowler
Norman Vanua,Middle,45,40,4,2,2,2,112.5,10.0,5.0,40.0,0.28,Low,bowler
Nosaina Pokana,Death,6,11,0,0,0,0,54.55,0.0,0.0,45.45,0.172,Low,bowler
Nurul Hasan,Death,28,29,2,5,1,1,96.55,6.9,17.24,41.38,0.249,Low,wicketkeeper batter
Nurul Hasan,Middle,36,38,1,2,1,0,94.74,2.63,5.26,34.21,0.249,Low,wicketkeeper batter
Nuwan Kulasekara,Death,7,8,0,1,0,0,87.5,0.0,12.5,25.0,0.251,Low,bowler
Nuwan Thushara,Death,1,5,0,0,0,0,20.0,0.0,0.0,80.0,0.063,Low,bowler
Obed McCoy,Death,2,3,0,0,0,0,66.67,0.0,0.0,33.33,0.21,Low,bowler
Obed McCoy,Middle,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Odean Smith,Death,23,17,3,1,1,2,135.29,17.65,5.88,52.94,0.303,Low,bowling allrounder
Odean Smith,Middle,4,5,0,0,0,0,80.0,0.0,0.0,20.0,0.252,Low,bowling allrounder
Pargat Singh,Middle,8,9,0,2,0,0,88.89,0.0,22.22,33.33,0.236,Low,allrounder
Pargat Singh,Powerplay,18,18,2,1,2,0,100.0,11.11,5.56,44.44,0.26,Low,allrounder
Pat Cummins,Death,24,13,4,4,1,3,184.62,30.77,30.77,53.85,0.398,Moderate,bowler
Pat Cummins,Middle,10,11,1,0,1,0,90.91,9.09,0.0,36.36,0.259,Low,bowler
Pathum Nissanka,Death,61,38,9,5,7,2,160.53,23.68,13.16,26.32,0.404,Moderate,top-order batter
Pathum Nissanka,Middle,213,169,16,5,10,6,126.04,9.47,2.96,24.26,0.325,Low,top-order batter
Pathum Nissanka,Powerplay,226,208,27,7,21,6,108.65,12.98,3.37,44.23,0.276,Low,top-order batter
Paul Stirling,Death,6,9,0,0,0,0,66.67,0.0,0.0,44.44,0.188,Low,batting allrounder
Paul Stirling,Middle,66,63,6,4,4,2,104.76,9.52,6.35,31.75,0.286,Low,batting allrounder
Paul Stirling,Powerplay,233,176,33,8,25,8,132.39,18.75,4.55,45.45,0.318,Low,batting allrounder
Paul van Meekeren,Death,47,28,7,2,6,1,167.86,25.0,7.14,32.14,0.404,Moderate,bowler
Paul van Meekeren,Middle,0,3,0,1,0,0,0.0,0.0,33.33,100.0,0.0,Low,bowler
Peter Borren,Death,12,6,1,1,1,0,200.0,16.67,16.67,16.67,0.447,Moderate,allrounder
Peter Borren,Middle,28,22,2,0,2,0,127.27,9.09,0.0,27.27,0.32,Low,allrounder
Peter Borren,Powerplay,15,9,3,1,3,0,166.67,33.33,11.11,33.33,0.426,Moderate,allrounder
Peter Nevill,Death,14,4,2,0,0,2,350.0,50.0,0.0,0.0,0.754,High,wicketkeeper
Phil Salt,Middle,8,4,1,1,0,1,200.0,25.0,25.0,25.0,0.456,Moderate,wicketkeeper batter
Phil Salt,Powerplay,54,31,9,2,6,3,174.19,29.03,6.45,38.71,0.411,Moderate,wicketkeeper batter
