Full Name,total_runs,balls_faced,total_fours,total_sixes,total_boundaries,total_wickets,strike_rate,average,dismissal_rate,boundary_pct,dot_ball_pct,vs_left_arm_fast,vs_left_arm_fast_medium,vs_left_arm_medium,vs_left_arm_mediumslow_left_arm_orthodox,vs_left_arm_medium_fast,vs_left_arm_wrist_spin,vs_legbreak,vs_legbreak_googly,vs_right_arm_fast,vs_right_arm_fast_medium,vs_right_arm_fast_mediumlegbreak,vs_right_arm_fast_mediumlegbreak_googly,vs_right_arm_medium,vs_right_arm_mediumlegbreak,vs_right_arm_mediumright_arm_offbreak,vs_right_arm_medium_fast,vs_right_arm_medium_fastright_arm_offbreak,vs_right_arm_offbreak,vs_right_arm_offbreaklegbreak,vs_right_arm_offbreaklegbreak_googly,vs_slow_left_arm_orthodox,avg_runs_death,avg_runs_middle,avg_runs_powerplay,adaptability_index,adaptability_label,run_std,consistency_index
Chris Gayle,172.0,107.0,11.0,14.0,25.0,8.0,160.75,21.5,13.38,23.36,46.73,0.6363636363636364,2.0588235294117645,0.0,0.0,0.7142857142857143,2.6666666666666665,2.5,0.0,1.1428571428571428,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7826086956521738,2.0,0.0,0.3333333333333333,1.8235294117647058,2.0,1.0833333333333333,0.567,Medium,2.0535545266063018,10.47
Chris Greaves,135.0,121.0,9.0,2.0,11.0,6.0,111.57,22.5,20.17,9.09,37.19,0.75,0.8888888888888888,1.0,0.0,1.0,0.0,1.0,1.1666666666666667,1.411764705882353,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.173913043478261,0.0,0.0,1.4285714285714286,1.0933333333333333,1.04,0.5,0.775,High,1.2894445186219432,17.449
Chris Jordan,40.0,38.0,4.0,0.0,4.0,3.0,105.26,13.33,12.67,10.53,42.11,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.5,1.3,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0555555555555556,1.0,0.0,0.297,Low,1.3472619306770128,9.894
Colin Ackermann,227.0,203.0,15.0,6.0,21.0,11.0,111.82,20.64,18.45,10.34,39.9,0.8888888888888888,1.1666666666666667,0.0,0.0,1.4285714285714286,0.0,1.1333333333333333,0.0,1.1,0.96,0.0,0.0,2.0,0.0,0.0,0.84375,0.0,1.375,0.0,1.0,0.9487179487179487,1.588235294117647,1.0149253731343284,0.8809523809523809,0.751,High,1.368867463158091,15.078
Colin Munro,128.0,102.0,11.0,4.0,15.0,4.0,125.49,32.0,25.5,14.71,34.31,1.0,1.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.6666666666666667,1.5555555555555556,1.0,0.0,0.0,0.5,0.0,0.0,1.0909090909090908,0.0,1.5625,0.0,0.0,0.2,0.0,1.2073170731707317,1.2608695652173914,0.574,Medium,1.518988481630459,21.067
Corey Anderson,110.0,104.0,9.0,2.0,11.0,6.0,105.77,18.33,17.33,10.58,42.31,1.8,0.0,0.0,0.0,0.5,0.0,1.3333333333333333,1.6666666666666667,1.3529411764705883,0.42857142857142855,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.8529411764705882,0.0,0.0,1.25,0.9615384615384616,1.0746268656716418,0.8666666666666667,0.571,Medium,1.31121318926071,13.979
Craig Ervine,129.0,121.0,13.0,0.0,13.0,7.0,106.61,18.43,17.29,10.74,45.45,1.5,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.8518518518518519,1.0909090909090908,0.0,0.0,1.75,0.0,0.0,1.0869565217391304,1.0,1.4285714285714286,0.0,0.0,1.0,1.4,1.096774193548387,0.946236559139785,0.658,Medium,1.2747548783981966,14.458
Craig Williams,127.0,139.0,9.0,4.0,13.0,9.0,91.37,14.11,15.44,9.35,52.52,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,1.12,0.0,0.42105263157894735,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.6129032258064516,0.0,1.4210526315789473,0.0,0.0,1.0416666666666667,0.3333333333333333,1.0684931506849316,0.7058823529411765,0.384,Medium,1.3509723396969544,10.444
Curtis Campher,166.0,127.0,13.0,3.0,16.0,9.0,130.71,18.44,14.11,12.6,31.5,1.0,1.0,0.0,0.0,1.0,0.0,0.7333333333333333,0.0,1.4705882352941178,1.2666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,1.0,1.25,0.0,1.2727272727272727,1.8214285714285714,1.1764705882352942,0.8333333333333334,0.732,High,1.407804769468114,13.098
Daryl Mitchell,350.0,247.0,22.0,11.0,33.0,10.0,141.7,35.0,24.7,13.36,29.96,1.2857142857142858,1.3,0.0,0.0,2.0,0.0,1.5,0.6923076923076923,1.3137254901960784,1.7317073170731707,0.0,0.0,2.3333333333333335,0.0,0.0,1.2916666666666667,0.0,1.3529411764705883,0.5714285714285714,0.0,1.2647058823529411,1.7272727272727273,1.264957264957265,1.3548387096774193,0.794,High,1.5137270907495366,23.122
