strike_rate,boundary_rate,dot_ball_pct,dismissal_ratio,consistency_index,pressure_index_batsman,avg_runs_powerplay,avg_runs_middle,avg_runs_death,remaining_overs,inningNumber,oversActual,Bowler_Bowling_Style_encoded
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,8.833333333333334,1,11.1,11
137.91469194312796,0.16113744075829384,0.0,0.052132701421800945,0.0,0.0,0.0,0.0,0.0,8.666666666666666,1,11.2,11
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,8.5,1,11.3,11
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,8.333333333333334,1,11.4,11
137.91469194312796,0.16113744075829384,0.0,0.052132701421800945,0.0,0.0,0.0,0.0,0.0,8.166666666666666,1,11.5,11
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,8.0,1,11.6,11
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,5.833333333333333,1,14.1,11
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,5.666666666666667,1,14.2,11
117.24137931034481,0.12643678160919541,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,5.5,1,14.3,11
134.76394849785407,0.1630901287553648,0.0,0.04721030042918455,0.0,0.0,0.0,0.0,0.0,5.333333333333333,1,14.4,11
137.91469194312796,0.16113744075829384,0.0,0.052132701421800945,0.0,0.0,0.0,0.0,0.0,5.166666666666667,1,14.5,11
137.91469194312796,0.16113744075829384,0.0,0.052132701421800945,0.0,0.0,0.0,0.0,0.0,5.0,1,14.6,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,3.833333333333331,1,16.1,11
134.76394849785407,0.1630901287553648,0.0,0.04721030042918455,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1,16.2,11
118.09045226130652,0.1306532663316583,0.0,0.04522613065326633,0.0,0.0,0.0,0.0,0.0,3.5,1,16.3,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,3.3333333333333357,1,16.4,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,1,16.5,11
118.09045226130652,0.1306532663316583,0.0,0.04522613065326633,0.0,0.0,0.0,0.0,0.0,2.999999999999998,1,16.6,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,1.833333333333331,1,18.1,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,18.2,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,1.5,1,18.3,11
106.81818181818181,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.3333333333333357,1,18.4,11
121.57676348547717,0.11618257261410789,0.0,0.04979253112033195,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1,18.5,11
106.81818181818181,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.9999999999999977,1,18.6,11
74.35897435897436,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,10.833333333333334,1,9.1,11
109.61538461538463,0.09615384615384616,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,10.666666666666666,1,9.2,11
109.61538461538463,0.09615384615384616,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,10.499999999999998,1,9.3,11
109.61538461538463,0.09615384615384616,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,10.333333333333334,1,9.4,11
109.61538461538463,0.09615384615384616,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,10.166666666666666,1,9.5,11
74.35897435897436,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,10.0,1,9.6,11
74.35897435897436,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,8.833333333333334,1,11.1,11
124.10714285714286,0.10714285714285714,0.0,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,8.666666666666666,1,11.2,11
124.10714285714286,0.10714285714285714,0.0,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,8.5,1,11.3,11
124.10714285714286,0.10714285714285714,0.0,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,8.333333333333334,1,11.4,11
74.35897435897436,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,8.166666666666666,1,11.5,11
74.35897435897436,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,8.0,1,11.6,11
86.15384615384616,0.06153846153846154,0.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,3.833333333333331,1,16.1,11
94.64285714285714,0.07142857142857142,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1,16.2,11
86.15384615384616,0.06153846153846154,0.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,3.5,1,16.3,11
73.91304347826086,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,3.3333333333333357,1,16.4,11
94.64285714285714,0.07142857142857142,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,1,16.5,11
94.64285714285714,0.07142857142857142,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,2.999999999999998,1,16.6,11
74.35897435897436,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,12.833333333333334,1,7.1,11
